"기준_년_코드","기준_분기_코드","상권_구분_코드","상권_구분_코드_명","상권.코드","총.상주인구.수","남성.상주인구.수","여성.상주인구.수","연령대.10.상주인구.수","연령대.20.상주인구.수","연령대.30.상주인구.수","연령대.40.상주인구.수","연령대.50.상주인구.수","연령대.60.이상.상주인구.수","남성연령대.10.상주인구.수","남성연령대.20.상주인구.수","남성연령대.30.상주인구.수","남성연령대.40.상주인구.수","남성연령대.50.상주인구.수","남성연령대.60.이상.상주인구.수","여성연령대.10.상주인구.수","여성연령대.20.상주인구.수","여성연령대.30.상주인구.수","여성연령대.40.상주인구.수","여성연령대.50.상주인구.수","여성연령대.60.이상.상주인구.수","총.가구.수","아파트.가구.수","비.아파트.가구.수","상권.코드.명"
2019,4,"A","골목상권",1000760,2291,1192,1099,231,740,352,249,284,435,132,412,190,134,123,201,99,328,162,115,161,234,1307,0,1307,"상도로61길"
2020,1,"A","골목상권",1000760,2291,1192,1099,231,740,352,249,284,435,132,412,190,134,123,201,99,328,162,115,161,234,1307,0,1307,"상도로61길"
2020,2,"A","골목상권",1000760,2291,1192,1099,231,740,352,249,284,435,132,412,190,134,123,201,99,328,162,115,161,234,1307,0,1307,"상도로61길"
2020,3,"A","골목상권",1000760,2291,1192,1099,231,740,352,249,284,435,132,412,190,134,123,201,99,328,162,115,161,234,1307,0,1307,"상도로61길"
2019,1,"A","골목상권",1000761,2947,1430,1517,363,909,561,376,288,450,178,446,267,192,141,206,185,463,294,184,147,244,1702,130,1572,"상도로62길"
2019,2,"A","골목상권",1000761,2947,1430,1517,363,909,561,376,288,450,178,446,267,192,141,206,185,463,294,184,147,244,1702,130,1572,"상도로62길"
2019,3,"A","골목상권",1000761,2947,1430,1517,363,909,561,376,288,450,178,446,267,192,141,206,185,463,294,184,147,244,1702,130,1572,"상도로62길"
2019,4,"A","골목상권",1000761,2943,1420,1523,339,983,519,358,309,435,159,487,252,183,146,193,180,496,267,175,163,242,1737,0,1737,"상도로62길"
2020,1,"A","골목상권",1000761,2943,1420,1523,339,983,519,358,309,435,159,487,252,183,146,193,180,496,267,175,163,242,1737,0,1737,"상도로62길"
2020,2,"A","골목상권",1000761,2943,1420,1523,339,983,519,358,309,435,159,487,252,183,146,193,180,496,267,175,163,242,1737,0,1737,"상도로62길"
2020,3,"A","골목상권",1000761,2943,1420,1523,339,983,519,358,309,435,159,487,252,183,146,193,180,496,267,175,163,242,1737,0,1737,"상도로62길"
2019,1,"R","전통시장",1001444,1623,780,843,130,333,240,214,237,469,75,169,127,99,121,189,55,164,113,115,116,280,945,0,945,"상도전통시장"
2019,2,"R","전통시장",1001444,1623,780,843,130,333,240,214,237,469,75,169,127,99,121,189,55,164,113,115,116,280,945,0,945,"상도전통시장"
2019,3,"R","전통시장",1001444,1623,780,843,130,333,240,214,237,469,75,169,127,99,121,189,55,164,113,115,116,280,945,0,945,"상도전통시장"
2019,4,"R","전통시장",1001444,1602,767,835,118,345,223,203,229,484,63,181,118,93,119,193,55,164,105,110,110,291,963,0,963,"상도전통시장"
2020,1,"R","전통시장",1001444,1602,767,835,118,345,223,203,229,484,63,181,118,93,119,193,55,164,105,110,110,291,963,0,963,"상도전통시장"
2020,2,"R","전통시장",1001444,1602,767,835,118,345,223,203,229,484,63,181,118,93,119,193,55,164,105,110,110,291,963,0,963,"상도전통시장"
2020,3,"R","전통시장",1001444,1602,767,835,118,345,223,203,229,484,63,181,118,93,119,193,55,164,105,110,110,291,963,0,963,"상도전통시장"
2019,1,"A","골목상권",1000762,1747,829,918,183,273,237,251,310,493,93,133,118,137,152,196,90,140,119,114,158,297,866,0,866,"서달로10길"
2019,2,"A","골목상권",1000762,1747,829,918,183,273,237,251,310,493,93,133,118,137,152,196,90,140,119,114,158,297,866,0,866,"서달로10길"
2019,3,"A","골목상권",1000762,1747,829,918,183,273,237,251,310,493,93,133,118,137,152,196,90,140,119,114,158,297,866,0,866,"서달로10길"
2019,4,"A","골목상권",1000762,1546,747,799,148,230,199,232,258,479,81,116,107,125,126,192,67,114,92,107,132,287,789,0,789,"서달로10길"
2020,1,"A","골목상권",1000762,1546,747,799,148,230,199,232,258,479,81,116,107,125,126,192,67,114,92,107,132,287,789,0,789,"서달로10길"
2020,2,"A","골목상권",1000762,1546,747,799,148,230,199,232,258,479,81,116,107,125,126,192,67,114,92,107,132,287,789,0,789,"서달로10길"
2020,3,"A","골목상권",1000762,1546,747,799,148,230,199,232,258,479,81,116,107,125,126,192,67,114,92,107,132,287,789,0,789,"서달로10길"
2019,1,"A","골목상권",1000763,380,176,204,37,65,47,36,77,118,16,33,22,22,35,48,21,32,25,14,42,70,200,0,200,"서달로14길"
2019,2,"A","골목상권",1000763,380,176,204,37,65,47,36,77,118,16,33,22,22,35,48,21,32,25,14,42,70,200,0,200,"서달로14길"
2019,3,"A","골목상권",1000763,380,176,204,37,65,47,36,77,118,16,33,22,22,35,48,21,32,25,14,42,70,200,0,200,"서달로14길"
2019,4,"A","골목상권",1000763,342,163,179,36,57,39,31,70,109,19,28,16,15,37,48,17,29,23,16,33,61,184,0,184,"서달로14길"
2020,1,"A","골목상권",1000763,342,163,179,36,57,39,31,70,109,19,28,16,15,37,48,17,29,23,16,33,61,184,0,184,"서달로14길"
2020,2,"A","골목상권",1000763,342,163,179,36,57,39,31,70,109,19,28,16,15,37,48,17,29,23,16,33,61,184,0,184,"서달로14길"
2020,3,"A","골목상권",1000763,342,163,179,36,57,39,31,70,109,19,28,16,15,37,48,17,29,23,16,33,61,184,0,184,"서달로14길"
2019,1,"A","골목상권",1000764,363,191,172,31,54,53,43,57,125,14,30,32,30,31,54,17,24,21,13,26,71,228,0,228,"서달로15길"
2019,2,"A","골목상권",1000764,363,191,172,31,54,53,43,57,125,14,30,32,30,31,54,17,24,21,13,26,71,228,0,228,"서달로15길"
2019,3,"A","골목상권",1000764,363,191,172,31,54,53,43,57,125,14,30,32,30,31,54,17,24,21,13,26,71,228,0,228,"서달로15길"
2019,4,"A","골목상권",1000764,347,180,167,22,61,50,37,56,121,9,34,29,24,27,57,13,27,21,13,29,64,221,0,221,"서달로15길"
2020,1,"A","골목상권",1000764,347,180,167,22,61,50,37,56,121,9,34,29,24,27,57,13,27,21,13,29,64,221,0,221,"서달로15길"
2020,2,"A","골목상권",1000764,347,180,167,22,61,50,37,56,121,9,34,29,24,27,57,13,27,21,13,29,64,221,0,221,"서달로15길"
2020,3,"A","골목상권",1000764,347,180,167,22,61,50,37,56,121,9,34,29,24,27,57,13,27,21,13,29,64,221,0,221,"서달로15길"
2019,1,"A","골목상권",1000765,630,305,325,68,106,61,85,111,199,31,57,33,44,61,79,37,49,28,41,50,120,333,0,333,"서달로8가길"
2019,2,"A","골목상권",1000765,630,305,325,68,106,61,85,111,199,31,57,33,44,61,79,37,49,28,41,50,120,333,0,333,"서달로8가길"
2019,3,"A","골목상권",1000765,630,305,325,68,106,61,85,111,199,31,57,33,44,61,79,37,49,28,41,50,120,333,0,333,"서달로8가길"
2019,4,"A","골목상권",1000765,586,288,298,55,106,60,67,104,194,22,62,34,38,54,78,33,44,26,29,50,116,316,0,316,"서달로8가길"
2020,1,"A","골목상권",1000765,586,288,298,55,106,60,67,104,194,22,62,34,38,54,78,33,44,26,29,50,116,316,0,316,"서달로8가길"
2020,2,"A","골목상권",1000765,586,288,298,55,106,60,67,104,194,22,62,34,38,54,78,33,44,26,29,50,116,316,0,316,"서달로8가길"
2020,3,"A","골목상권",1000765,586,288,298,55,106,60,67,104,194,22,62,34,38,54,78,33,44,26,29,50,116,316,0,316,"서달로8가길"
2019,1,"A","골목상권",1000778,655,331,324,77,150,96,82,108,142,33,75,64,42,55,62,44,75,32,40,53,80,329,0,329,"흑석로13길"
2019,2,"A","골목상권",1000778,655,331,324,77,150,96,82,108,142,33,75,64,42,55,62,44,75,32,40,53,80,329,0,329,"흑석로13길"
2019,3,"A","골목상권",1000778,655,331,324,77,150,96,82,108,142,33,75,64,42,55,62,44,75,32,40,53,80,329,0,329,"흑석로13길"
2019,4,"A","골목상권",1000778,2511,1234,1277,428,414,462,391,435,381,218,198,237,192,224,165,210,216,225,199,211,216,1005,0,1005,"흑석로13길"
2020,1,"A","골목상권",1000778,2511,1234,1277,428,414,462,391,435,381,218,198,237,192,224,165,210,216,225,199,211,216,1005,0,1005,"흑석로13길"
2020,2,"A","골목상권",1000778,2511,1234,1277,428,414,462,391,435,381,218,198,237,192,224,165,210,216,225,199,211,216,1005,0,1005,"흑석로13길"
2020,3,"A","골목상권",1000778,2511,1234,1277,428,414,462,391,435,381,218,198,237,192,224,165,210,216,225,199,211,216,1005,0,1005,"흑석로13길"
2019,1,"A","골목상권",1000779,2030,1033,997,195,647,302,228,248,410,101,372,159,114,116,171,94,275,143,114,132,239,1198,230,968,"흑석로9길"
2019,2,"A","골목상권",1000779,2030,1033,997,195,647,302,228,248,410,101,372,159,114,116,171,94,275,143,114,132,239,1198,230,968,"흑석로9길"
2019,3,"A","골목상권",1000779,2030,1033,997,195,647,302,228,248,410,101,372,159,114,116,171,94,275,143,114,132,239,1198,230,968,"흑석로9길"
2019,4,"A","골목상권",1000779,1982,994,988,166,650,290,215,242,419,84,343,167,110,105,185,82,307,123,105,137,234,1194,0,1194,"흑석로9길"
2020,1,"A","골목상권",1000779,1982,994,988,166,650,290,215,242,419,84,343,167,110,105,185,82,307,123,105,137,234,1194,0,1194,"흑석로9길"
2020,2,"A","골목상권",1000779,1982,994,988,166,650,290,215,242,419,84,343,167,110,105,185,82,307,123,105,137,234,1194,0,1194,"흑석로9길"
2020,3,"A","골목상권",1000779,1982,994,988,166,650,290,215,242,419,84,343,167,110,105,185,82,307,123,105,137,234,1194,0,1194,"흑석로9길"
2019,1,"R","전통시장",1001448,1055,492,563,155,159,127,168,170,276,80,82,60,82,85,103,75,77,67,86,85,173,481,0,481,"흑석시장"
2019,2,"R","전통시장",1001448,1055,492,563,155,159,127,168,170,276,80,82,60,82,85,103,75,77,67,86,85,173,481,0,481,"흑석시장"
2019,3,"R","전통시장",1001448,1055,492,563,155,159,127,168,170,276,80,82,60,82,85,103,75,77,67,86,85,173,481,0,481,"흑석시장"
2019,4,"R","전통시장",1001448,1009,468,541,139,148,125,159,171,267,70,78,59,82,79,100,69,70,66,77,92,167,468,0,468,"흑석시장"
2020,1,"R","전통시장",1001448,1009,468,541,139,148,125,159,171,267,70,78,59,82,79,100,69,70,66,77,92,167,468,0,468,"흑석시장"
2020,2,"R","전통시장",1001448,1009,468,541,139,148,125,159,171,267,70,78,59,82,79,100,69,70,66,77,92,167,468,0,468,"흑석시장"
2020,3,"R","전통시장",1001448,1009,468,541,139,148,125,159,171,267,70,78,59,82,79,100,69,70,66,77,92,167,468,0,468,"흑석시장"
